Hash,Commit Message,Author Name,Author Email,Committor Name,Committor Email,Author Date,Author Timezone,Committor Date,Committor Timezone,in_main_branch,merge,modified_files,parents,deletions,insertions,lines,files,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
76bdba8122a905567313b84d4b10e5fce61a6e93,Initial commit,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,GitHub,noreply@github.com,2020-12-31 23:13:18-07:00,25200,2020-12-31 23:13:18-07:00,25200,True,False,"['.gitignore', 'LICENSE', 'README.md']",[],0,39,39,3,,,
3fbb52fe292a556a1155867db914e45f0f1c517a,Create setup.py,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:20:43-07:00,25200,2020-12-31 23:20:43-07:00,25200,True,False,['setup.py'],['76bdba8122a905567313b84d4b10e5fce61a6e93'],0,14,14,1,,,
ef2a369f78ec871398d76aedba36f02b85bd4ea8,Create setup.cfg,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:20:46-07:00,25200,2020-12-31 23:20:46-07:00,25200,True,False,['setup.cfg'],['3fbb52fe292a556a1155867db914e45f0f1c517a'],0,2,2,1,,,
ea043c3eb9c0dc58e1fa6860eed78eee4f7d1203,Create pypitest.pypirc,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:20:48-07:00,25200,2020-12-31 23:20:48-07:00,25200,True,False,['pypitest.pypirc'],['ef2a369f78ec871398d76aedba36f02b85bd4ea8'],0,14,14,1,,,
273fd2d384d6315e4f1b224edaa80bb0caf38931,Create hello_func.py,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:20:51-07:00,25200,2020-12-31 23:20:51-07:00,25200,True,False,['hello_func.py'],['ea043c3eb9c0dc58e1fa6860eed78eee4f7d1203'],0,2,2,1,1.0,1.0,1.0
88349d289b4f85968bc56883d36364f2685a1c81,Create hello.py,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:20:53-07:00,25200,2020-12-31 23:20:53-07:00,25200,True,False,['hello.py'],['273fd2d384d6315e4f1b224edaa80bb0caf38931'],0,5,5,1,,,
307d821528d87344e38af655c45ff866c0329555,Create hello_func.cpython-37.pyc,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:20:56-07:00,25200,2020-12-31 23:20:56-07:00,25200,True,False,['hello_func.cpython-37.pyc'],['88349d289b4f85968bc56883d36364f2685a1c81'],0,0,0,1,,,
5149598c3317cc1a4487b7368c75a9386f084cc4,Create __init__.py,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:20:59-07:00,25200,2020-12-31 23:20:59-07:00,25200,True,False,['__init__.py'],['307d821528d87344e38af655c45ff866c0329555'],0,0,0,1,,,
8c92d22a7f7ae09dfb4821222bf08262e2176f90,Create .DS_Store,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:21:01-07:00,25200,2020-12-31 23:21:01-07:00,25200,True,False,['.DS_Store'],['5149598c3317cc1a4487b7368c75a9386f084cc4'],0,0,0,1,,,
c35565fe7c2ea47eb5dd9134a05c1ed7fe02ab91,Update setup.py,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:22:06-07:00,25200,2020-12-31 23:22:06-07:00,25200,True,False,['setup.py'],['8c92d22a7f7ae09dfb4821222bf08262e2176f90'],14,33,47,1,,,
2b777c6879433d2904dd15b77efb3dffc22c1647,Update setup.py,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:23:08-07:00,25200,2020-12-31 23:23:08-07:00,25200,True,False,['setup.py'],['c35565fe7c2ea47eb5dd9134a05c1ed7fe02ab91'],4,4,8,1,,,
2e994b85172737c593d932627b89aa7e371c36b3,Update setup.py,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:27:14-07:00,25200,2020-12-31 23:27:14-07:00,25200,True,False,['setup.py'],['2b777c6879433d2904dd15b77efb3dffc22c1647'],1,1,2,1,,,
39a6286fa69e1177b02a88263d2a4a353ceb281c,Create __init__.py,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:44:26-07:00,25200,2020-12-31 23:44:26-07:00,25200,True,False,['__init__.py'],['2e994b85172737c593d932627b89aa7e371c36b3'],0,0,0,1,,,
f554fd5948ca4c963dd6b906a6442ee7d30f55e6,Create hello.py,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:44:28-07:00,25200,2020-12-31 23:44:28-07:00,25200,True,False,['hello.py'],['39a6286fa69e1177b02a88263d2a4a353ceb281c'],0,5,5,1,,,
c98dddb851ecc6a985b454d90eb9757477de6a13,Create hello_func.py,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:44:30-07:00,25200,2020-12-31 23:44:30-07:00,25200,True,False,['hello_func.py'],['f554fd5948ca4c963dd6b906a6442ee7d30f55e6'],0,2,2,1,1.0,1.0,1.0
5ded1af7b3b8a2479f11351827417c6d6dc5d5a9,Create hw_package123-1.0-py3-none-any.whl,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:44:34-07:00,25200,2020-12-31 23:44:34-07:00,25200,True,False,['hw_package123-1.0-py3-none-any.whl'],['c98dddb851ecc6a985b454d90eb9757477de6a13'],0,0,0,1,,,
4ebd8a8d02cc3d52c83ac1b458e96f05fbefe141,Create hw_package123-1.0.tar.gz,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:44:36-07:00,25200,2020-12-31 23:44:36-07:00,25200,True,False,['hw_package123-1.0.tar.gz'],['5ded1af7b3b8a2479f11351827417c6d6dc5d5a9'],0,0,0,1,,,
c18cead290f7fbc39a157971b58c4b5b238d1485,Create dependency_links.txt,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:44:41-07:00,25200,2020-12-31 23:44:41-07:00,25200,True,False,['dependency_links.txt'],['4ebd8a8d02cc3d52c83ac1b458e96f05fbefe141'],0,1,1,1,,,
fcae33e754d87ef740d257c51c3aa17880adad2f,Create PKG-INFO,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:44:44-07:00,25200,2020-12-31 23:44:44-07:00,25200,True,False,['PKG-INFO'],['c18cead290f7fbc39a157971b58c4b5b238d1485'],0,13,13,1,,,
9b6448bf83341869807dc341e17d300add83a06c,Create requires.txt,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:44:46-07:00,25200,2020-12-31 23:44:46-07:00,25200,True,False,['requires.txt'],['fcae33e754d87ef740d257c51c3aa17880adad2f'],0,2,2,1,,,
0c4954dc2ded0672597e01baf1e348dd863c94cd,Create SOURCES.txt,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:44:49-07:00,25200,2020-12-31 23:44:49-07:00,25200,True,False,['SOURCES.txt'],['9b6448bf83341869807dc341e17d300add83a06c'],0,11,11,1,,,
2401342ec05128c77101a6b24d50b7d4514276d4,Create top_level.txt,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:44:52-07:00,25200,2020-12-31 23:44:52-07:00,25200,True,False,['top_level.txt'],['0c4954dc2ded0672597e01baf1e348dd863c94cd'],0,1,1,1,,,
5a9d5bbbbdecca65cb2631fefa055b809bb06d4b,Delete pypitest.pypirc,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:44:55-07:00,25200,2020-12-31 23:44:55-07:00,25200,True,False,['pypitest.pypirc'],['2401342ec05128c77101a6b24d50b7d4514276d4'],14,0,14,1,,,
ed83fbda5df5e5e91285cafbe12900cb7923b018,Update setup.py,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:47:45-07:00,25200,2020-12-31 23:47:45-07:00,25200,True,False,['setup.py'],['5a9d5bbbbdecca65cb2631fefa055b809bb06d4b'],5,7,12,1,,,
a960a356a24861b686daccd8739bd1ff389824fb,Create hw_package123-1.1-py3-none-any.whl,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2020-12-31 23:59:57-07:00,25200,2020-12-31 23:59:57-07:00,25200,True,False,['hw_package123-1.1-py3-none-any.whl'],['ed83fbda5df5e5e91285cafbe12900cb7923b018'],0,0,0,1,,,
14710b89c07777dffc84c34c25eb73fc97e9e3a9,Create hw_package123-1.1.tar.gz,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2021-01-01 00:00:01-07:00,25200,2021-01-01 00:00:01-07:00,25200,True,False,['hw_package123-1.1.tar.gz'],['a960a356a24861b686daccd8739bd1ff389824fb'],0,0,0,1,,,
3dd1792d96b54b7c63b584ed41bacaa7aaa00a1b,Update PKG-INFO,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2021-01-01 00:00:04-07:00,25200,2021-01-01 00:00:04-07:00,25200,True,False,['PKG-INFO'],['14710b89c07777dffc84c34c25eb73fc97e9e3a9'],1,1,2,1,,,
fb0226e950856318dfe69e210456fa6752ed1a8c,Delete requires.txt,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,dwarakravikumar,64508461+dwarakravikumar@users.noreply.github.com,2021-01-01 00:00:06-07:00,25200,2021-01-01 00:00:06-07:00,25200,True,False,['requires.txt'],['3dd1792d96b54b7c63b584ed41bacaa7aaa00a1b'],2,0,2,1,,,
